Election Cycle ,Candidate,Board Meeting Date,Violation,Current Violation Name,Final Board Determination
2009,"Zuckerman, Bob",05/10/2012,Failing to provide merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$50
2009,"Zuckerman, Bob",05/10/2012,Exceeding the expenditure limit,Exceeding the expenditure limit,"$1,603"
2009,"Zuckerman, Bob",05/10/2012,Repayment: FBB,Repayment: Final Bank Balance,$67.92
2009,"Carrington, William",04/12/2012,Failing to report a receipt,Failing to report transactions,$50
2009,"Carrington, William",04/12/2012,Failing to report an expenditure,Failing to report transactions,$50
2009,"Carrington, William",04/12/2012,Maintaining a 24.79% cash deposit variance,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$500
2009,"Carrington, William",04/12/2012,Maintaining a 6.31% debit variance  and a 5.04% credit variance,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2009,"Carrington, William",04/12/2012,Failing to document a transaction,Failing to document transactions,$50
2009,"Carrington, William",04/12/2012,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,VNP
2009,"Carrington, William",04/12/2012,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$15,515"
2009,"Facundo, Luis",04/12/2012,Failing to provide deposit records,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2009,"Facundo, Luis",04/12/2012,Failing to accurately report disbursements,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$1,000"
2009,"Facundo, Luis",04/12/2012,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",No violation
2009,"Facundo, Luis",04/12/2012,Making cash expenditures greater than $100,Making cash expenditures greater than $100,$150
2009,"Facundo, Luis",04/12/2012,Maintaining a petty cash Fund greater than $500,Maintaining a petty cash fund greater than $500,$212
2009,"Gleason, Peter",04/12/2012,Filing a disclosure statement late,Failing to file/filing late disclosure statements,$750
2009,"Gleason, Peter",04/12/2012,Accepting three corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$300
2009,"Gleason, Peter",04/12/2012,Failing to demonstrate that spending was in furtherance of the campaign,Failing to demonstrate that spending was in furtherance of the campaign,$100
2009,"Gleason, Peter",04/12/2012,Repayment: FBB,Repayment: Final Bank Balance,$67.62
2009,"Straker, Adrian",04/12/2012,"Making improper post-election expenditures totaling $2,272",Making impermissible post-election expenditures,$213
2009,"Straker, Adrian",04/12/2012,Accepting a contribution from a limited liability company,"Accepting contributions from corporations, limited liability companies, or partnerships",$50
2009,"Straker, Adrian",04/12/2012,Making non-campaign related expenditures totaling $945,Failing to demonstrate that spending was in furtherance of the campaign,$50
2009,"Straker, Adrian",04/12/2012,Making cash payments over the $100 limit,Making cash expenditures greater than $100,$50
2009,"Straker, Adrian",04/12/2012,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$21,926"
2009,"Boyland, Tracy",03/15/2012,Accepting prohibited contributions,"Accepting contributions from corporations, limited liability companies, or partnerships","$6,460"
2009,"Boyland, Tracy",03/15/2012,Accepting over-the-limit Doing Business contributions,Accepting over-the-limit Doing Business contributions,$800
2009,"Boyland, Tracy",03/15/2012,Filing a disclosure statement five days late,Failing to file/filing late disclosure statements,$250
2009,"Boyland, Tracy",03/15/2012,Failing to report transactions,Failing to report transactions,$250
2009,"Boyland, Tracy",03/15/2012,Failing to accurately report receipts resulting in a 24.87% variance,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2009,"Boyland, Tracy",03/15/2012,Failing to comply with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$150
2009,"Boyland, Tracy",03/15/2012,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,No violation
2009,"Boyland, Tracy",03/15/2012,Repayment: QED,Repayment: Qualified Expenditure Deficit,$150
2009,"King, Andy",03/15/2012,Accepting contributions from corporations and LLCs,"Accepting contributions from corporations, limited liability companies, or partnerships","$2,295"
2009,"King, Andy",03/15/2012,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2009,"King, Andy",03/15/2012,Failing to accurately report receipts,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,"$1,000"
2009,"King, Andy",03/15/2012,Making cash expenditures greater than $100,Making cash expenditures greater than $100,$150
2009,"King, Andy",03/15/2012,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,No violation
2009,"King, Andy",03/15/2012,Making improper post-election expenditures,Making impermissible post-election expenditures,$216
2009,"King, Andy",03/15/2012,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$27,541"
2009,"Rice, Jerome",03/15/2012,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$125
2009,"Rice, Jerome",03/15/2012,Failing to file disclosure statements,Failing to file/filing late disclosure statements,$375
2009,"Rice, Jerome",03/15/2012,Failing to accurately report disbursements resulting in a 13.22% variance,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$500
2009,"Rice, Jerome",03/15/2012,Failing to respond to post-election requests for documentation and information,"Failing to respond/late response to IDR, DAR, etc.",$150
2009A,"Ricatto, Mike",02/16/2012,Accepting one over-the-limit contribution,Accepting over-the-limit contributions,"$5,000"
2009A,"Ricatto, Mike",02/16/2012,Accepting one over-the-limit corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships","$5,000"
2009A,"Ricatto, Mike",02/16/2012,Failing to accurately report receipts,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2009A,"Ricatto, Mike",02/16/2012,Payment: Qualified Expenditure Surplus,Payment: Qualified Expenditure Surplus,"($51,097)"
2009,"Castellanos, Francesca",02/16/2012,Converting campaign funds to a personal use,Converting campaign funds to a personal use,"$3,546"
2009,"Castellanos, Francesca",02/16/2012,Filing a disclosure statement late,Failing to file/filing late disclosure statements,$750
2009,"Castellanos, Francesca",02/16/2012,Making improper post-election expenditures,Making impermissible post-election expenditures,VNP
2009,"Castellanos, Francesca",02/16/2012,Failing to document expenditures,Failing to document transactions,VNP
2009,"Castellanos, Francesca",02/16/2012,Failing to comply with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,VNP
2009,"Castellanos, Francesca",02/16/2012,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$18,754"
2009,"Crowley, Elizabeth",02/16/2012,Exceeding the Expenditure Limit,Exceeding the expenditure limit,VNP
2009,"Crowley, Elizabeth",02/16/2012,Making Improper Post-Election Expenditures,Making impermissible post-election expenditures,VNP
2009,"Crowley, Elizabeth",02/16/2012,Accepting a Corporate Contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",VNP
2009,"Crowley, Elizabeth",02/16/2012,Failing to Timely Respond,"Failing to respond/late response to IDR, DAR, etc.",VNP
2009,"Crowley, Elizabeth",02/16/2012,Repayment: FBB,Repayment: Final Bank Balance,"$8,831.52"
2009,"Hunley-Adossa, Delia",02/16/2012,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,$125
2009,"Hunley-Adossa, Delia",02/16/2012,Making improper post-election expenditures,Making impermissible post-election expenditures,$577
2009,"Hunley-Adossa, Delia",02/16/2012,Failing to report three transactions,Failing to report transactions,$150
2009,"Hunley-Adossa, Delia",02/16/2012,Failing to provide deposit slips,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$50
2009,"Hunley-Adossa, Delia",02/16/2012,Failing to comply with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$50
2009,"Hunley-Adossa, Delia",02/16/2012,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($11,660)"
2009,"Kalathara, Stanley",02/16/2012,Failing to Timely Respond,"Failing to respond/late response to IDR, DAR, etc.","$1,000"
2009,"Nunes, Lynn",02/16/2012,Submitting inconsistent documentation,Material misrepresentation; fraud; submission of false or ficticious information,$500
2009,"Nunes, Lynn",02/16/2012,Debit variance of 9.5%,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2009,"Nunes, Lynn",02/16/2012,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$3,282.81"
2009,"Rivera, Joel",02/16/2012,Accepting an over-the-limit Doing Business contribution,Accepting over-the-limit Doing Business contributions,$500
2009,"Rodriguez, Robert",02/16/2012,Accepting four over-the-limit doing business contributions,Accepting over-the-limit Doing Business contributions,"$2,700"
2009,"Rodriguez, Robert",02/16/2012,Accepting two corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$125
2009,"Rodriguez, Robert",02/16/2012,Filing a disclosure statement three days late,Failing to file/filing late disclosure statements,$150
2009,"Rodriguez, Robert",02/16/2012,Failing to report a transaction,Failing to report transactions,No violation
2009,"Rodriguez, Robert",02/16/2012,Failing to comply with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$100
2009,"Rodriguez, Robert",02/16/2012,Failing to report an in-kind contribution,Failing to report transactions,$50
2009,"Rodriguez, Robert",02/16/2012,Exceeding the expenditure limit,Exceeding the expenditure limit,"$5,224"
2009,"Rodriguez, Robert",02/16/2012,Making a cash payment in excess of $100 and maintaining a petty cash fund in excess of $500,Making cash expenditures greater than $100,No violation
2009,"Rodriguez, Robert",02/16/2012,Repayment: FBB,Repayment: Final Bank Balance,$80.31
2009,"Rodriguez, Ydanis",02/16/2012,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,($318)
2009,"Singh, Swaranjit",02/16/2012,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$35
2009,"Singh, Swaranjit",02/16/2012,Exceeding the expenditure limit,Exceeding the expenditure limit,"$5,653"
2009,"Singh, Swaranjit",02/16/2012,Repayment: FBB,Repayment: Final Bank Balance,"$10,929.67"
2009,"Cornegy, Robert",01/12/2012,Converting campaign funds to a personal use,Converting campaign funds to a personal use,$520
2009,"Cornegy, Robert",01/12/2012,Maintaining a cash variance of 11.12%,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$350
2009,"Cornegy, Robert",01/12/2012,Making improper post-election expenditures,Making impermissible post-election expenditures,$259
2009,"Cornegy, Robert",01/12/2012,Failing to document an in-kind contribution,Failing to document transactions,$50
2009,"Cornegy, Robert",01/12/2012,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$25
2009,"Cornegy, Robert",01/12/2012,Repayment: QED,Repayment: Qualified Expenditure Deficit,$184.35
2009,"Green, Mark",01/12/2012,Accepting six corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships","$1,000"
2009,"Green, Mark",01/12/2012,Accepting an over-the-limit Doing Business contribution,Accepting over-the-limit Doing Business contributions,$250
2009,"Green, Mark",01/12/2012,Failing to provide merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$250
2009,"Green, Mark",01/12/2012,Failing to provide loan documentation,Failing to document transactions,$250
2009,"Green, Mark",01/12/2012,Failing to report expenditures,Failing to report transactions,$50
2009,"Green, Mark",01/12/2012,Repayment: FBB,Repayment: Final Bank Balance,"$2,395.67"
2009,"King, Erlene",01/12/2012,Exceeding the expenditure limit,Exceeding the expenditure limit,VNP
2009,"King, Erlene",01/12/2012,Accepting a contribution in excess of the 'doing business' limit,Accepting over-the-limit Doing Business contributions,"$1,119"
2009,"King, Erlene",01/12/2012,Failing to accurately report cash receipts,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$250
2009,"King, Erlene",01/12/2012,Making cash payments over the $100 limit,Making cash expenditures greater than $100,VNP
2009,"King, Erlene",01/12/2012,Non-payment: expenditure limit violation,Non-payment: expenditure limit violation,No payment
2009,"Rahman, Mujib",01/12/2012,Filing a disclosure statement 1 day late,Failing to file/filing late disclosure statements,INP
2009,"Rahman, Mujib",01/12/2012,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($40,020)"
2009,"Vallone, Paul",01/12/2012,Accepting 2 over-the-limit ‘Doing Business’ contributions,Accepting over-the-limit Doing Business contributions,$500
2009,"Vallone, Paul",01/12/2012,Accepting 2 over-the-limit contributions,Accepting over-the-limit contributions,$250
2009,"Vallone, Paul",01/12/2012,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2009,"Vallone, Paul",01/12/2012,Non-campaign-related expenditures,Failing to demonstrate that spending was in furtherance of the campaign,VNP
2009,"Vallone, Paul",01/12/2012,Making a cash payment over the $100 limit,Making cash expenditures greater than $100,$50
2009,"Vallone, Paul",01/12/2012,Repayment: FBB,Repayment: Final Bank Balance,"$1,005.79"
2009,"Vann, Albert",01/12/2012,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2009,"Vann, Albert",01/12/2012,Failing to file daily disclosure statements,Failing to report/late reporting of transactions in daily pre-election disclosure statements,$100
2009,"Vann, Albert",01/12/2012,Making improper post-election expenditures,Making impermissible post-election expenditures,$100
2009,"Vann, Albert",01/12/2012,Maintaining a petty cash fund greater than $500,Maintaining a petty cash fund greater than $500,$65
2009,"Vann, Albert",01/12/2012,Making a cash payment over the $100 limit,Making cash expenditures greater than $100,$50
2009,"Duncan, Michael",12/08/2011,Improper post-election expenditure,Making impermissible post-election expenditures,VNP
2009,"Duncan, Michael",12/08/2011,Repayment: Overpayment of PFs,Repayment: Overpayment of PFs,"$1,260"
2009,"Galluscio, Frank",12/08/2011,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,VNP
2009,"Galluscio, Frank",12/08/2011,Failing to provide information about campaign worker wage records,"Failing to respond/late response to IDR, DAR, etc.",VNP
2009,"Galluscio, Frank",12/08/2011,Repayment: FBB,Repayment: Final Bank Balance,"$5,573.04"
2009,"Gentile, Vincent",12/08/2011,Exceeding the expenditure limit,Exceeding the expenditure limit,"$25,757"
2009,"Gentile, Vincent",12/08/2011,Failing to report daily pre-election expenditures,Failing to file/late filing of daily pre-election disclosure statements,$100
2009,"Gentile, Vincent",12/08/2011,Accepting corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$625
2009,"Gentile, Vincent",12/08/2011,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$250
2009,"Gentile, Vincent",12/08/2011,"Failing to attribute partnership/limited liability company contributions in excess of $2,500","Accepting contributions from corporations, limited liability companies, or partnerships",$50
2009,"Gentile, Vincent",12/08/2011,Improper post-election expenditure,Making impermissible post-election expenditures,$100
2009,"Gentile, Vincent",12/08/2011,Filing a disclosure statement 41 days late,Failing to file/filing late disclosure statements,VNP
2009,"Gentile, Vincent",12/08/2011,Repayment: FBB,Repayment: Final Bank Balance,"$12,755.14"
2009,"Rodriguez, Ydanis",12/08/2011,Exceeding the expenditure limit,Exceeding the expenditure limit,No violation
2009,"Rodriguez, Ydanis",12/08/2011,Failing to account for joint expenditures,Failing to document transactions,"$3,050"
2009,"Rodriguez, Ydanis",12/08/2011,Accepting contributions in excess of the ‘Doing Business’ limit,Accepting over-the-limit Doing Business contributions,"$1,250"
2009,"Rodriguez, Ydanis",12/08/2011,Failing to report and document in-kind contributions,Failing to report transactions,$100
2009,"Rodriguez, Ydanis",12/08/2011,Failing to document an in-kind contribution,Failing to document transactions,No violation
2009,"Rodriguez, Ydanis",12/08/2011,Improper post-election expenditures,Making impermissible post-election expenditures,$100
2009,"Rodriguez, Ydanis",12/08/2011,Failing to document expenditures,Failing to document transactions,$250
2009,"Wright, Tremaine",12/08/2011,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$500
2009,"Wright, Tremaine",12/08/2011,Making a cash payment over the $100 limit,Making cash expenditures greater than $100,$50
2009,"Wright, Tremaine",12/08/2011,Payment: unspent campaign funds (deficit),Payment: unspent campaign funds (deficit),"($5,759)"
2009,"Dickens, Inez",11/10/2011,Accepting corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$375
2009,"Dickens, Inez",11/10/2011,Accepting contributions from unregistered political committees,Accepting contributions from unregistered political committees,$500
2009,"Dickens, Inez",11/10/2011,Failing to timely file disclosure statements,Failing to file/filing late disclosure statements,$150
2009,"Dickens, Inez",11/10/2011,Failing to accurately report receipts,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2009,"Dickens, Inez",11/10/2011,Failing to report contributions,Failing to report transactions,$150
2009,"Escoffery-Bey, Mark",11/10/2011,Non-campaign-related expenditures,Failing to demonstrate that spending was in furtherance of the campaign,"$2,395"
2009,"Escoffery-Bey, Mark",11/10/2011,Failing to maintain deposit records,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$250
2009,"Escoffery-Bey, Mark",11/10/2011,Improper post-election expenditures,Making impermissible post-election expenditures,No violation
2009,"Escoffery-Bey, Mark",11/10/2011,Repayment: QED,Repayment: Qualified Expenditure Deficit,"$23,428"
2009,"Grinage, David",11/10/2011,Filing a Disclosure Statement Late,Failing to file/filing late disclosure statements,INP
2009,"Grinage, David",11/10/2011,Accepting a Contribution from a Limited Liability Company,"Accepting contributions from corporations, limited liability companies, or partnerships",INP
2009,"James, Letitia",11/10/2011,Failing to document a joint expenditure,Failing to document transactions,VNP
2009,"James, Letitia",11/10/2011,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",VNP
2009,"James, Letitia",11/10/2011,Repayment: FBB,Repayment: Final Bank Balance,"$1,971.64"
2009,"Arroyo, Maria",10/27/2011,Non-campaign-related expenditures,Failing to demonstrate that spending was in furtherance of the campaign,$125
2009,"Arroyo, Maria",10/27/2011,Improper post-election expenditures,Making impermissible post-election expenditures,$852
2009,"Arroyo, Maria",10/27/2011,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2009,"Arroyo, Maria",10/27/2011,Failing to provide signed intermediary affirmation statements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$100
2009,"Arroyo, Maria",10/27/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$42,932"
2009,"Baer, Kenneth",10/27/2011,Repayment: FBB,Repayment: Final Bank Balance,"$7,314.04"
2009,"Ferreras, Julissa",10/27/2011,Failing to demonstrate compliance with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,VNP
2009,"Ferreras, Julissa",10/27/2011,Accepting an over-the-limit contribution,Accepting over-the-limit contributions,VNP
2009,"Ferreras, Julissa",10/27/2011,Payment: unspent campaign funds (deficit),Payment: unspent campaign funds (deficit),"($1,846)"
2009,"Iannece, Jerry",10/27/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),$199
2009,"Realmuto, Richard",10/27/2011,Repayment: FBB,Repayment: Final Bank Balance,"$1,559.52"
2009,"Cohen, Albert",09/08/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$7,514"
2009,"Davila, Maritza",09/08/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$15,525"
2009,"Feerick, Deirdre",09/08/2011,Exceeding the expenditure limit,Exceeding the expenditure limit,No violation
2009,"Foster, Helen Diane",09/08/2011,Non-campaign-related expenditures,Failing to demonstrate that spending was in furtherance of the campaign,$728
2009,"Foster, Helen Diane",09/08/2011,Improper post-election expenditures,Making impermissible post-election expenditures,"$1,593"
2009,"Foster, Helen Diane",09/08/2011,"Accepting a contribution over the ""Doing Business"" Contribution Limit",Accepting over-the-limit Doing Business contributions,$250
2009,"Foster, Helen Diane",09/08/2011,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2009,"Foster, Helen Diane",09/08/2011,Accepting a Contribution in excess of the Contribution Limit,Accepting over-the-limit contributions,$125
2009,"Foster, Helen Diane",09/08/2011,Misreporting credit card transactions,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$50
2009,"Foster, Helen Diane",09/08/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$65,185"
2009,"Kim, P.J.",09/08/2011,Exceeding the expenditure limit,Exceeding the expenditure limit,"$3,461"
2009,"Kim, P.J.",09/08/2011,Making an impermissible post-election expenditure,Making impermissible post-election expenditures,$100
2009,"Kim, P.J.",09/08/2011,Repayment: FBB,Repayment: Final Bank Balance,"$3,202"
2009,"Pocchia, James",09/08/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$2,571"
2009,"Reilly, Gary",09/08/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),$106
2009,"Stringer, Scott",09/08/2011,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$250
2009,"Stringer, Scott",09/08/2011,Accepting over-the-limit contributions,Accepting over-the-limit contributions,$875
2009,"Stringer, Scott",09/08/2011,Accepting an over-the-limit Doing Business contribution,Accepting over-the-limit Doing Business contributions,$250
2009,"Stringer, Scott",09/08/2011,Failing to report a merchant account,Failing to disclose a bank account or political committee used in furtherance of the campaign,$250
2009,"Stringer, Scott",09/08/2011,Failing to provide merchant account statements,"Failing to provide bank, credit card, and merchant account statements",$250
2009,"Stringer, Scott",09/08/2011,Failing to provide intermediary affirmation statements,Failing to demonstrate compliance with intermediary reporting and documentation requirements,$350
2009,"Chin, Margaret",08/11/2011,Failing to provide bank slips,Failing to demonstrate compliance with reporting requirements for receipts or disbursements,$50
2009,"Chin, Margaret",08/11/2011,Failing to comply with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$300
2009,"Chin, Margaret",08/11/2011,Using incorrect entities for expenditures,Failing to maintain a separate campaign bank account; using an undisclosed bank account in furtherance of the campaign; commingling campaign funds with personal or business funds or funds accepted for a different election,$250
2009,"Choe, John",08/11/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$1,320"
2009,"Gennaro, James",08/11/2011,Accepting five corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$525
2009,"Gennaro, James",08/11/2011,Accepting an unregistered political committee contribution,Accepting contributions from unregistered political committees,$125
2009,"Gennaro, James",08/11/2011,"Accepting three over-the-limit ""doing business"" contributions",Accepting over-the-limit Doing Business contributions,"$1,150"
2009,"Skaller, Josh",08/11/2011,Repayment: FBB,Repayment: Final Bank Balance,"$6,089"
2009A,"Simon, Lew",07/14/2011,Filing a disclosure statement five days late,Failing to file/filing late disclosure statements,$250
2009A,"Simon, Lew",07/14/2011,Failing to accurately report cash receipts,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$400
2009A,"Simon, Lew",07/14/2011,Repayment: FBB,Repayment: Final Bank Balance,"$4,926"
2009,"Bernace, Victor",07/14/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$4,925"
2009,"Esposito, Gerald",07/14/2011,Accepting corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$275
2009,"Esposito, Gerald",07/14/2011,Accepting a contribution from an unregistered political committee,Accepting contributions from unregistered political committees,$125
2009,"Esposito, Gerald",07/14/2011,Exceeding the expenditure limit,Exceeding the expenditure limit,"$22,325"
2009,"Esposito, Gerald",07/14/2011,Failing to substantially address questions in the DAR regarding expenditure documentation discrepancies,"Failing to respond/late response to IDR, DAR, etc.","$1,000"
2009,"Friedrich, Robert",07/14/2011,Accepting a contribution from a prohibited source,"Accepting contributions from corporations, limited liability companies, or partnerships",$383
2009,"Friedrich, Robert",07/14/2011,Accepting a contribution from a prohibited source,"Accepting contributions from corporations, limited liability companies, or partnerships",$50
2009,"Friedrich, Robert",07/14/2011,Payment: Unpaid PF Claims,Payment: Unpaid PF Claims,"($4,615)"
2009,"Gagarin, Melquiades",07/14/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),$63
2009,"Jackson, Robert",07/14/2011,Payment: unspent campaign funds (deficit),Payment: unspent campaign funds (deficit),"($2,293)"
2009,"Markell, Debra",07/14/2011,Accepting a contribution in excess of the “Doing Business” limit and failing to issue a refund within 20 days of notification,Accepting over-the-limit Doing Business contributions,VNP
2009,"Markell, Debra",07/14/2011,Improper post-election expenditures,Making impermissible post-election expenditures,VNP
2009,"Markell, Debra",07/14/2011,Repayment: FBB,Repayment: Final Bank Balance,"$1,046"
2009,"Markowitz, Marty",07/14/2011,Accepting contributions that exceeded the contribution limit,Accepting over-the-limit contributions,"$3,850"
2009,"Markowitz, Marty",07/14/2011,"Accepting contributions that exceeded the ""Doing Business"" limit and failing to issue refunds within 20 days of notification",Accepting over-the-limit Doing Business contributions,$500
2009,"Markowitz, Marty",07/14/2011,Failing to comply with subcontractor reporting requirements,Failing to demonstrate compliance with subcontractor reporting and documentation requirements,$250
2009,"Mitchell, Kenneth",07/14/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$16,102"
2009,"Molinaro, James",07/14/2011,Failing to adequately answer questions about a loan,"Failing to respond/late response to IDR, DAR, etc.","$3,503"
2009,"Molinaro, James",07/14/2011,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships","$2,120"
2009,"Molinaro, James",07/14/2011,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"($44,875)"
2009,"Oddo, James",07/14/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$1,295"
2009,"Sears, Helen",07/14/2011,Accepting two corporate contributions,"Accepting contributions from corporations, limited liability companies, or partnerships",$500
2009,"Sears, Helen",07/14/2011,"Accepting seven contributions that were over the $2,750 limit",Accepting over-the-limit contributions,"$1,750"
2009,"Sears, Helen",07/14/2011,Accepting two contributions that were over the $250 limit from contributors who have business dealings with the City,Accepting over-the-limit Doing Business contributions,$500
2009,"Sears, Helen",07/14/2011,Repayment: FBB,Repayment: Final Bank Balance,$75
2009,"Vacca, James",07/14/2011,Accepting contributions from three political committees that were not registered with the CFB and did not register within ten days of the contributions,Accepting contributions from unregistered political committees,$750
2009,"Vacca, James",07/14/2011,Accepting a contribution from a corporation,"Accepting contributions from corporations, limited liability companies, or partnerships",$250
2009,"Vacca, James",07/14/2011,Accepting an aggregate over the limit contribution,Accepting over-the-limit contributions,"$1,000"
2009,"Weprin, Mark",07/14/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$16,346"
2009,"Fidler, Lewis",06/09/2011,Repayment: FBB,Repayment: Final Bank Balance,"$8,760"
2009,"Koslowitz, Karen",06/09/2011,Repayment: FBB,Repayment: Final Bank Balance,"$8,515"
2009,"Leavitt, Marc",06/09/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),$5
2009A,"Chapey, Geraldine",05/12/2011,Accepting a contribution from a political committee that was not registered with the CFB,Accepting contributions from unregistered political committees,$125
2009A,"Chapey, Geraldine",05/12/2011,"Accepting contributions that were over the $1,375 limit",Accepting over-the-limit contributions,"$10,000"
2009A,"Chapey, Geraldine",05/12/2011,Failing to accurately report and document expenditures,Failing to report transactions,$750
2009A,"Chapey, Geraldine",05/12/2011,Payment: Documented Outstanding Liabilities,Payment: Documented Outstanding Liabilities,"($14,381)"
2009,"Luisi, John",05/12/2011,Payment: unspent campaign funds (deficit),Payment: unspent campaign funds (deficit),"($4,755)"
2009,"Materna, Janine",05/12/2011,Repayment: unspent campaign funds (surplus),Repayment: unspent campaign funds (surplus),"$9,010"
2009A,"Baker, Tony",04/07/2011,Accepting a corporate contribution,"Accepting contributions from corporations, limited liability companies, or partnerships",$450
2009A,"Baker, Tony",04/07/2011,Cash variance of 31.58%,Failing to demonstrate compliance with cash receipts reporting and documentation requirements,$100
2009A,"Baker, Tony",04/07/2011,Accepting a cash contribution in excess of $100,Accepting over-the-limit contributions,No violation
2009A,"Baker, Tony",04/07/2011,Improper post-election expenditures,Making impermissible post-election expenditures,$100
2008A,"Ober, Charles J.",04/07/2011,Accepting two contributions that were over the $125 limit from contributors who have business dealings with the City,Accepting over-the-limit Doing Business contributions,No violation
2008A,"Ober, Charles J.",04/07/2011,"Accepting three contributions that were over the  $1,375 limit",Accepting over-the-limit contributions,"$11,375"
